"pathway","pvalue","dist"
"M700",0.011,2.89293772468924
"M626",0.502,2.24497215484201
"M524",0.039,2.51350793596288
"M26996",0.001,3.36267712317433
"M27146",0.001,2.97451312799188
"M1825",0.001,2.9914368044835
"M27213",0.001,3.23506998113802
"M26958",0.212,2.28115511670139
"M27765",0.094,2.35597142968372
"M27947",0.001,3.36049392833892
"M27500",0.001,2.19589405129271
"M27488",0.048,3.23768778791602
"M26946",0.016,2.70560992984277
"M703",0.002,2.4153637549578
"M11980",0.001,1.67357594146439
"M643",0.001,2.09698722274052
"M702",0.005,2.1075737287753
"M970",0.001,2.95233813071607
"M38998",0.001,3.32422133734952
"M26902",0.001,2.04460636961806
"M17243",0.001,2.47181165040794
"M592",0.001,1.86969410889424
"M721",1,Inf
"M27292",0.079,2.8113623213866
"M27449",0.001,2.51015010785888
"M27095",0.001,2.96964769503086
"M42522",0.189,1.82719469755437
"M26955",0.716,3.11008064587972
"M27948",0.001,1.12113052673979
"M811",0.001,3.31431703123086
"M27114",0.001,2.96486696845079
"M18193",0.001,2.24671113192899
"M26976",0.018,0.751637954393835
"M975",0.001,2.24381578866635
"M27024",0.045,3.23768778791602
"M3862",0.002,2.06067756111256
"M188",0.001,2.68974563645734
"M27161",0.357,2.07711166659629
"M17814",0.001,0.884418318546628
"M1018",0.022,2.89293772468924
"M27478",1,Inf
"M708",0.001,3.27836963758359
"M9990",0.002,2.32058792976084
"M27627",0.003,0.762444837762314
"M26909",0.001,1.73059614907386
"M10679",0.001,3.27597031523688
"M27958",0.001,1.11788472410894
"M27793",0.001,3.23506998113802
"M27839",0.612,1.61967101769116
"M27836",0.011,2.74586075522438
"M27140",0.001,0.843797395731315
"M27033",0.001,3.22279578119478
"M794",0.002,2.70152626092977
"M27658",0.001,2.19589405129271
"M801",0.015,2.70269208624816
"M495",0.039,0.577752009797695
"M1062",0.001,2.03625309181945
"M4974",0.001,1.59064050875591
"M27725",0.392,2.88102605017617
"M27722",0.008,3.36267712317433
"M3871",0.001,1.17482524436452
"M2341",0.005,0.496853244993813
"M27481",0.001,2.94986207275308
"M796",0.001,2.02637291701488
"M26904",0.001,3.34548073544536
"M27700",0.001,2.35754273523702
"M27934",0.001,1.50982326261852
"M27298",0.001,2.9615336992594
"M27254",0.001,2.05378749218448
"M27889",0.231,1.71098374154592
"M27890",0.507,2.57900950212511
"M27172",0.001,1.04358248448071
"M27086",0.001,2.18389270887821
"M499",0.017,1.15510547138939
"M27738",0.059,2.19735297309001
"M27473",0.001,1.42985066145363
"M27917",0.574,2.28115511670139
"M10320",0.001,0.218947607105036
