"pathway","pvalue","dist"
"M27146",0.96,0.793975288118305
"M700",1,0.699778908065461
"M27213",1,0.849322886161078
"M524",1,0.53614165203537
"M27765",0.691,0.417333597301247
"M26946",0.938,0.655635199446691
"M626",1,0.355771805231673
"M26958",1,0.398188427381798
"M38998",0.001,1.0769210656032
"M27947",1,1.02535746084664
"M27500",1,0.395146713194146
"M27488",1,0.863824489147193
"M1825",1,0.773864385897648
"M970",0.001,0.834386884411817
"M26996",1,1.0320313438032
"M703",1,0.444694705645057
"M702",0.999,0.400023555811535
"M26976",0.491,0.0717848028587642
"M643",0.442,0.388493955217288
"M26902",0.011,0.365314065917044
"M975",0.272,0.402667470710756
"M17243",0.001,0.569198401583773
"M592",0.049,0.304688295945878
"M27095",0.431,0.776477636664329
"M42522",1,0.250833708966499
"M721",1,Inf
"M3862",0.073,0.366986558909021
"M27114",0.267,0.787471534771821
"M26955",1,0.681116031505072
"M27292",1,0.605582528012616
"M27449",1,0.52287462300233
"M18193",0.001,0.422967984546005
"M27948",0.232,0.134994062430668
"M11980",0.001,0.25490485806067
"M27161",0.848,0.378761089214082
"M27024",1,0.863824489147193
"M188",0.001,0.648977653607623
"M17814",0.594,0.0911165749555491
"M27478",1,Inf
"M10679",0.001,1.09069941143262
"M1018",1,0.699778908065461
"M9990",0.139,0.466722688216898
"M811",0.001,1.04311139619061
"M27627",0.275,0.0691998927754
"M27793",1,0.849322886161078
"M1062",0.001,0.402555373142404
"M27958",0.993,0.134574703050683
"M708",0.001,1.07549682815088
"M26909",0.258,0.270246417705543
"M27836",1,0.674094876688942
"M27839",1,0.198514494205632
"M27033",0.001,0.872771448894471
"M27140",0.859,0.080122792892052
"M801",0.8,0.643074769471477
"M27934",0.297,0.218747302031813
"M27658",1,0.395146713194146
"M2341",0.748,0.0412887411747869
"M27722",1,1.0320313438032
"M27700",0.001,0.482555413897248
"M794",0.629,0.640104839284948
"M4974",0.992,0.221012737907618
"M495",0.776,0.050326768340288
"M920",0.002,0.370822920226124
"M796",0.001,0.303334973678666
"M27298",0.021,0.794167092317184
"M27254",0.001,0.404084982381975
"M26904",1,1.00750410988628
"M27481",0.001,0.838929270219356
"M27725",1,0.615683162172446
"M27172",0.002,0.125069338931949
"M27889",1,0.234425222237468
"M27086",0.567,0.397348087670062
"M27890",1,0.467629303359044
"M499",0.973,0.129560196584205
"M27106",1,1.09014485388442
"M27152",0.999,0.056487602105208
"M27738",1,0.401426928181753
"M27917",1,0.398188427381798
"M601",0.001,0.236436018207192
"M3871",0.001,0.155396244532274
"M934",0.001,0.475615936706771
"M10320",0.01,0.014980428606166
"M26943",0.282,0.36347366565449
"M866",1,0.665058470076837
"M26910",0.022,0.645287687697313
"M998",1,Inf
"M27828",0.055,0.17776071681684
"M26947",0.001,0.783669731411533
"M27339",1,0.398188427381798
"M27098",0.992,0.411594591705693
"M3634",0.973,0.209598684199324
"M29839",1,0.334137916500021
"M749",0.022,0.108080379973079
"M17694",0.633,0.126310472018888
"M27434",0.079,0.327662414766276
"M27454",0.447,0.0610153083679752
"M907",0.019,0.306369669419389
"M27473",0.001,0.181094689060985
"M780",1,0.849322886161078
"M27485",0.015,0.229114454646808
"M41809",1,0.0101710348334435
"M13897",0.001,0.564317255607415
"M29837",0.001,0.360024482916293
"M840",0.23,0.222393837713561
"M27396",0.003,0.367488627246052
"M27379",1,0.423060816913405
"M902",1,0.502349741347668
"M29830",0.001,0.110554185626525
"M27708",0.004,0.500585679552571
"M27937",0.002,0.516260035211121
"M27619",1,0.432908865370421
"M26991",1,0.84264900320452
"M820",0.285,0.106354989157493
"M27838",1,0.780708259085265
"M11725",0.005,0.191058053554572
"M897",0.811,0.0421439684422436
"M16312",0.03,0.0112667901469086
"M27480",0.001,0.1179892035285
"M4953",1,0.669866561880426
"M27542",1,0.863824489147193
"M797",0.001,0.333585200622602
"M27466",0.053,0.780967781425337
"M27084",0.001,0.872771448894471
"M27188",0.93,0.00846650442498169
"M758",0.001,0.0694982877309431
"M27087",1,1.02535746084664
"M19832",1,0.0239001404934223
"M19248",0.997,0.0380301756384568
"M27288",0.4,0.0166030400491655
"M27935",0.03,0.00731013922723481
"M27321",0.144,0.106698166707071
"M27182",0.001,0.844826641241408
"M17879",0.069,0.241884695262773
"M16227",0.001,0.580443649452941
"M27166",0.001,0.606659280472495
"M678",0.001,0.206572173265645
"M784",0.001,0.401016489502729
"M27621",1,0.798781072309473
"M29814",0.001,1.05547990653659
"M29701",0.005,1.10847749128579
"M41837",0.01,0.0124091269123248
"M27681",1,0.399039582694976
"M559",0.001,0.697973660957346
"M27558",0.001,0.22186788815593
"M27096",1,0.708815314677565
"M27363",1,1.09014485388442
"M27773",1,0.615683162172446
"M10546",1,0.647560818622861
"M1078",0.001,0.843319543784398
"M837",0.001,0.511213743731065
"M26926",1,0.849322886161078
"M27164",0.115,0.538277224462148
"M651",0.871,0.372129154781742
"M8245",0.029,1.08941526492254
"M9694",0.001,1.05442112784684
"M15303",0.01,0.00579351802883322
"M27818",0.012,0.274001624727219
"M26907",0.584,0.424404683249124
"M808",0.048,0.261965908718452
"M1044",0.001,1.09156426603834
"M27113",0.002,0.671886180644431
"M6591",1,0.863824489147193
"M5650",0.294,0.150613727322162
"M16289",0.958,0.306465658724334
"M27812",0.001,0.287614757684954
"M27484",0.01,0.014505771627017
"M27193",0.001,1.0769210656032
"M2843",0.996,0.0243330206073272
"M27103",0.957,0.0419549188564652
"M938",0.321,0.0261997133290755
"M26982",0.001,1.02586047785994
"M18334",0.001,0.273849041793131
"M889",0.01,0.823889523506166
"M29668",0.001,1.04228024841219
"M27483",0.32,0.675984650043136
"M751",0.002,0.161331531277277
"M27656",0.001,0.486282646864168
"M11153",0.001,0.18044336165412
"M29840",0.001,0.0473050121659486
"M27591",0.001,0.808819249029448
"M512",0.016,0.0750859198062699
"M27258",0.001,1.10454687755096
"M27272",0.002,0.115215598772177
"M27263",0.001,1.05867178705408
"M39001",0.327,0.68651187903242
"M39000",1,0.527105245423265
"M27697",0.01,0.0121692708629068
"M42527",0.626,0.124143958837301
"M27248",0.349,0.776477636664329
"M27243",0.532,0.476012062718892
"M557",1,0.467629303359044
"M41831",0.01,0.0290900380846149
"M38996",0.067,0.341304727990604
"M27465",0.071,0.173227557961153
"M26953",0.4,0.0485528218595278
"M27752",0.022,0.109954768529118
"M27171",0.001,0.677826070929532
"M26981",0.554,0.390169400243445
"M27360",0.486,0.485790200828195
"M13492",0.001,0.500159568964734
"M27227",1,0.521057176083227
"M27563",0.001,0.539655485370866
"M27151",0.001,0.449375157128028
"M27468",0.989,0.257964392888203
"M29724",0.769,0.0332458271286883
"M27274",0.017,0.349788645347878
"M27275",0.99,0.030248216586344
"M27546",1,0.153811400153571
"M27554",0.99,0.0146786372420061
"M27428",0.001,0.237778158244805
"M27712",0.349,0.417273828227848
"M27399",0.001,0.558244395463279
"M27046",0.843,0.0440261613201175
"M27257",0.001,0.152099501057615
"M29829",0.813,0.0518271303381343
"M27702",1,0.297530520669115
"M27303",0.001,0.293836780736218
"M27400",0.001,1.03310592697264
"M27470",1,0.491938713867168
"M27582",0.04,0.133694327778832
"M522",0.973,0.0123473112871479
"M550",0.001,0.0328810024147474
"M27244",0.598,0.0730629470880836
"M549",0.263,0.638444063253948
"M2158",0.001,0.122733852401536
"M26930",1,1.00418197490397
"M27163",0.003,0.0341825940966342
"M27191",0.049,0.146195558970612
"M27756",0.183,0.211581191919478
"M669",0.05,0.250999847988518
"M27510",0.001,0.824792062862578
"M994",1,1.02200571287239
"M628",0.022,0.21602568634471
"M4280",0.849,0.508188928649935
"M6768",0.004,0.314556922693115
"M19752",0.011,0.03470399972587
"M29854",0.001,0.253486936962154
"M12123",1,0.306246678301139
"M27156",1,0.682281256611485
"M17386",0.001,0.304805395048544
"M26945",1,0.527105245423265
"M11184",0.966,0.280171773538857
"M27129",1,0.398188427381798
"M779",0.033,0.140550595308432
"M29808",0.999,0.271534797881782
"M16597",0.001,0.499979200025507
"M27763",0.246,0.121382543137694
"M525",0.009,0.390516006976617
"M27111",0.884,0.340337669299052
"M27875",0.002,0.476243688490548
"M39005",0.001,0.166721156563631
"M27309",0.001,0.47148549054555
"M27310",0.001,1.04841824217173
"M29536",1,0.251525251338527
"M13408",0.327,0.210244536143583
"M8410",0.095,0.655825332657415
"M26969",0.52,0.0495288227339708
"M26928",1,0.426641003270188
"M27343",0.001,1.10454687755096
"M641",0.003,0.0786345635367433
"M19861",0.001,0.506671375840884
"M27177",0.019,1.06442686628387
"M27476",0.01,0.0299796322103911
"M27601",1,Inf
"M14663",0.026,0.767700752392297
"M27952",0.324,0.246535518255178
"M27311",0.006,0.111593300979534
"M29556",1,Inf
"M27686",1,Inf
"M27297",0.001,0.382115142061296
"M941",0.03,0.0107948727061258
"M729",0.304,0.130797294538439
"M27854",0.01,0.0118256343866385
"M14990",0.001,0.520200040972713
"M27589",0.001,0.16785090786107
"M27108",0.001,0.823078370701602
"M1009",1,1.01918736875046
"M27794",0.01,0.00572703235237643
"M27206",0.001,0.159558866713959
"M27308",0.023,0.0606928032130505
"M27097",0.01,0.0483568489697803
"M29842",0.008,0.160534725502772
"M27651",0.001,0.0646874474637837
"M1002",0.001,0.053514373984921
"M661",0.008,0.223736403929399
"M41721",0.976,0.430183220622776
"M27189",0.001,0.539729111523767
"M41724",0.001,0.279957418248155
"M27205",0.956,0.0771833847320373
"M27253",0.01,0.0368375005097462
"M595",0.001,0.0662531753230177
"M27599",1,Inf
"M27544",1,0.502349741347668
"M27946",0.005,0.48464937215587
"M27941",0.559,0.294242235621945
"M27940",0.039,0.5446584116269
"M29803",0.601,0.0983108662274914
"M27317",1,0.777216133871894
"M1017",1,0.0130565821411554
"M805",1,Inf
"M27506",1,0.570862090023993
"M839",0.001,0.0500737398349842
"M9648",0.001,0.681088276292739
"M27175",0.02,0.00723292308956443
"M13115",0.001,1.10910662049986
"M27101",0.001,0.152321917055405
"M2844",0.937,0.0514776548633354
"M27938",0.925,0.0319770792928504
"M10450",0.001,1.05867178705408
"M631",0.003,0.0501438385981994
"M532",0.007,0.339929412794242
"M1040",0.243,0.182003360388951
"M27649",0.984,0.0148852276679336
"M27676",1,0.467629303359044
"M927",0.001,0.86701636966468
"M600",0.02,0.0142692274977515
"M12484",0.22,0.319382364955385
"M800",0.169,0.0267445157693301
"M27698",0.001,0.113172999880738
"M14981",0.012,0.511997406346645
"M26993",0.995,0.170114972722883
"M15243",0.001,1.04269767927854
"M657",0.001,0.667375279496496
"M14309",0.001,0.270114851031204
"M27820",0.773,0.0817699728235566
"M4904",0.003,0.151520846152366
"M27076",1,0.681116031505072
"M976",0.001,0.809491833914816
"M11575",0.001,1.08287894021671
"M27874",0.001,0.150683602675882
"M27851",0.861,0.38863737737928
"M630",0.001,0.320397649747878
"M27207",0.001,0.194450563006474
"M27028",0.018,0.798397714738119
"M17787",1,0.312504027768369
"M27672",0.001,0.121711948327899
"M19193",0.125,0.491870514973045
"M26972",0.954,0.0769460222117364
"M27657",1,0.398188427381798
"M27236",0.174,0.552831447641641
"M27857",0.003,0.187905401913763
"M27247",0.495,0.47493249819304
"M576",0.987,0.120149475874846
"M16523",0.001,0.218906421343805
"M27293",0.001,0.228106193523299
"M26983",0.001,0.423953252603137
"M27352",0.015,0.659314483408294
"M26911",0.993,0.0309426112810794
"M519",0.175,0.438491077668224
"M791",0.001,0.232003661438596
"M13748",0.001,0.0928807267421869
"M27849",1,0.997478478955476
"M27840",1,0.334137916500021
"M27219",0.001,0.0417219506807535
"M19312",0.001,0.388580369040426
"M587",0.881,0.00748457373329569
"M1877",0.003,0.147471802149151
"M27570",1,Inf
"M1443",0.001,0.273880239294067
"M27232",0.011,0.250302528340741
"M27059",0.029,0.818360301316522
"M27060",1,0.570862090023993
"M27648",0.002,0.0799589593834306
"M41833",0.003,0.0720931256321227
"M27439",0.043,0.48912526662325
"M868",0.004,0.0250304543380587
"M773",0.022,0.0734137870619742
"M695",0.001,0.0319343294229196
"M10775",0.001,0.379798887259738
"M27497",0.165,0.125248098087195
"M29568",1,1.20744272853938
"M685",0.001,1.10910662049986
"M636",0.872,0.379197693523198
"M507",0.001,0.152590044267494
"M692",0.001,0.168175115558085
"M27390",1,1.0320313438032
"M666",0.314,0.238374142191005
"M660",0.371,0.342519960878691
"M27252",0.003,0.247719629462423
"M26960",1,0.334137916500021
"M27612",1,1.00083022692972
"M27255",0.012,0.166081532926181
"M1003",0.001,0.664691970161547
"M27349",1,1.00750410988628
"M928",1,0.226981641925244
"M27584",0.008,0.435385553926815
"M29816",0.883,0.108475990007394
"M41830",0.039,0.271946327522199
"M1072",0.999,0.149029464192979
"M27230",0.001,0.177560253441818
"M1015",0.996,0.388171637273495
"M39003",0.001,1.08978005940348
"M706",0.001,0.0168894051994539
"M27781",1,1.01085585786053
"M29617",0.005,0.228757874859948
"M27198",0.007,0.196349031287029
"M6121",0.001,0.415193996970961
"M27933",0.001,0.822451213795836
"M1051",0.92,0.658945484247769
"M715",0.001,0.0843280493301335
"M19381",1,0.00877127072423581
"M877",0.001,0.66107675930597
"M8240",0.661,0.0226869843628783
"M29806",0.001,0.361585738175258
"M26964",0.214,0.0679780278252131
"M27408",0.032,0.217295668455176
"M29805",0.001,0.0376598736719074
"M27383",1,0.533617606058441
"M1080",0.001,0.0970307925017433
"M27605",0.01,0.484659028404294
"M27594",0.002,0.822291496114187
"M29804",0.001,0.0276578559233193
"M27381",0.959,0.0433840398553384
"M27894",0.97,0.051086374455424
"M27893",1,0.997478478955476
"M760",0.001,0.192446878093581
"M5283",0.02,0.0125206428071756
"M27858",0.001,1.04381166641995
"M27131",0.005,0.0296777398055769
"M27860",1,0.839297255230274
"M27897",1,0.68651187903242
"M27201",0.001,0.0341988807805122
"M27751",1,0.0119872459365564
"M27873",0.001,0.386720964780246
"M1014",1,0.997478478955476
"M27604",0.052,0.488132331479315
"M542",0.117,0.564074779926031
"M14804",0.001,0.0507379790508259
"M921",0.001,1.10454687755096
"M18437",0.003,0.0332606127763975
"M965",0.001,0.0328408615128447
"M1012",0.001,0.216516240701167
"M620",0.001,0.148755520576152
"M14766",0.797,0.147313033541847
"M935",0.001,1.04381166641995
"M971",0.99,0.0604574544153613
"M4076",0.01,0.0190647651091692
"M27460",0.838,0.0857605651071852
"M27888",0.001,0.0132678151039545
"M27464",0.309,0.487458387387814
"M27240",0.486,0.557462153859171
"M27282",0.726,0.0723025342193841
"M1870",0.001,0.079712201941845
"M27577",0.61,0.5824063273919
"M899",0.01,0.020986351274716
"M691",0.998,0.796507941383926
"M27706",1,0.773864385897648
"M1030",1,0.108341181263182
"M690",0.008,0.281768168948721
"M997",0.991,0.0235126562803667
"M670",0.001,0.44658725099478
"M5113",0.001,0.139980381990286
"M859",0.001,0.668812704769824
"M29844",1,1.09014485388442
"M959",0.001,1.06300361605144
"M27846",0.029,0.302462692740441
"M42519",1,0.798391619814567
"M27115",1,0.798391619814567
"M962",0.001,0.111540531896888
"M27936",1,0.997478478955476
"M27949",0.001,0.712658598662104
"M27780",0.001,0.494897660008876
"M29766",0.004,0.59983008954116
"M7455",0.005,0.0444189830506126
"M27228",1,1.04653294678931
"M27680",0.827,0.256162420720718
"M26916",0.001,0.333916188408704
"M518",0.002,0.0407508705746882
"M26896",1,0.773864385897648
"M27567",0.001,0.641172154564349
"M27176",0.001,1.07153078085436
"M27592",0.001,0.401038637435744
"M39012",1,0.398188427381798
"M27472",0.01,0.0124547110110723
"M39011",1,0.527105245423265
"M27467",1,0.0413832894825383
