"pathway","pvalue","dist"
"M524",1,Inf
"M27500",1,Inf
"M700",1,Inf
"M1825",1,Inf
"M26946",0.133,2.30893199262456
"M26958",1,Inf
"M626",1,Inf
"M643",0.001,1.71230882786814
"M27947",1,Inf
"M27488",1,Inf
"M702",0.673,1.7313644716133
"M592",0.001,1.50903399323185
"M970",0.004,2.64714560593898
"M27213",1,Inf
"M26996",1,Inf
"M703",1,Inf
"M27765",0.151,1.79375160889193
"M38998",0.001,3.02627526671972
"M26902",0.001,1.66522267571367
"M27449",1,Inf
"M27146",0.001,2.56244641182532
"M721",1,Inf
"M17243",0.001,2.15892161616146
"M42522",1,Inf
"M18193",0.001,1.8045939575599
"M975",0.002,1.76343532709364
"M27095",1,Inf
"M3862",0.001,1.68390879225353
"M11980",0.001,1.32256814277136
"M26955",1,Inf
"M26976",0.123,0.558560604335317
"M27292",1,Inf
"M27114",0.001,2.55498516624426
"M27024",1,Inf
"M27161",0.665,1.70674075362973
"M188",0.002,2.30896879157197
"M27948",0.001,0.887829805268684
"M17814",0.001,0.668208031919466
"M811",0.001,2.97088200230617
"M10679",0.001,3.0462311202716
"M1018",1,Inf
"M708",0.001,3.02554361810066
"M27627",0.02,0.531237232766056
"M27478",1,Inf
"M9990",0.011,1.92802461591439
"M27958",0.001,0.884013709347522
"M27793",1,Inf
"M27836",1,Inf
"M26909",0.001,1.37630735265975
"M1062",0.001,1.7852042623906
"M27839",1,Inf
"M495",0.351,0.417356305029812
"M27658",1,Inf
"M27140",0.067,0.589148325842442
"M27033",0.001,2.6894463789315
"M2341",0.166,0.354455190148769
"M794",0.003,2.28847587543448
"M801",0.053,2.29359500974887
"M601",0.001,1.29907871334305
"M27934",0.001,1.21798228008711
"M27700",0.001,1.91395519574492
"M4974",0.395,1.19961360215649
"M27722",1,Inf
"M26904",1,Inf
"M27254",0.001,1.78587754908338
"M27298",0.001,2.57431683829547
"M796",0.001,1.48887438885808
"M27725",1,Inf
"M920",0.001,1.67208517090421
"M27481",0.001,2.6531474152977
"M27890",1,Inf
"M3871",0.001,0.990535534269761
"M27917",1,Inf
"M499",1,0.831268151610107
"M27889",1,Inf
"M27086",0.003,1.73131575223143
"M27738",1,Inf
"M27106",1,Inf
"M27172",0.001,0.844394199528097
"M26943",0.001,1.6547499750469
"M27152",0.736,0.454831168961559
"M10320",0.01,0.143064188226536
"M26910",1,Inf
"M17694",0.001,0.850973421105979
"M27098",0.002,1.7539843244895
"M934",0.001,1.93568709820797
"M907",0.001,1.51519330518611
"M866",1,Inf
"M26947",0.001,2.55605602702552
"M27828",0.001,1.06110839465285
"M29839",1,Inf
"M27339",1,Inf
"M749",0.001,0.753777986642378
"M3634",0.982,1.16132909444257
"M29837",0.001,1.67136913696069
"M998",1,Inf
"M27434",0.001,1.5539924744711
"M13897",0.001,2.14290892666066
"M780",1,Inf
"M27454",0.044,0.484750970797693
"M27485",0.001,1.24903421055262
"M41809",1,0.100729231025896
"M840",0.001,1.23481509756104
"M902",1,Inf
"M27379",1,Inf
"M27473",0.001,1.04545736885492
"M27619",1,Inf
"M27708",0.001,2.00695618481668
"M897",0.002,0.360709258038975
"M27480",0.001,0.799138865797708
"M820",0.001,0.744326541775585
"M26991",1,Inf
"M27937",0.012,2.05075235865812
"M16312",0.01,0.110913687943635
"M27838",1,Inf
"M758",0.001,0.520063792589897
"M19832",1,0.2205719783251
"M27288",0.01,0.159519344937252
"M11725",0.001,1.13406528026992
"M29830",0.001,0.780773266705566
"M27321",0.001,0.750348862643514
"M797",0.001,1.54196959509314
"M27396",0.001,1.67443821852958
"M27542",1,Inf
"M27466",0.001,2.5475239206632
"M15303",0.99,0.0587716187192523
"M27188",0.3,0.084653606049696
"M27084",0.001,2.6894463789315
"M27087",1,Inf
"M4953",1,Inf
"M16227",0.001,2.18923171998834
"M27166",0.001,2.21475338757743
"M27182",0.001,2.66076855070956
"M19248",0.001,0.332304520906255
"M17879",0.002,1.31078754780659
"M784",0.001,1.76777722013397
"M29814",0.001,2.98167821308238
"M27935",0.94,0.0734503518819938
"M559",0.001,2.41559939456379
"M29701",0.014,3.07395235985553
"M41837",0.01,0.121431228576665
"M27681",1,Inf
"M27096",1,Inf
"M27558",0.002,1.2467871251493
"M27363",1,Inf
"M1078",0.001,2.66427847615216
"M27484",0.01,0.140521256633607
"M678",0.001,1.17070874365106
"M10546",1,Inf
"M27773",1,Inf
"M26926",1,Inf
"M651",0.001,1.68809933698699
"M8245",1,Inf
"M27164",0.001,2.08625352251605
"M27103",0.001,0.362382888486033
"M1044",0.001,3.04958991702782
"M26907",0.007,1.81859669086215
"M837",0.001,2.04244875703103
"M27818",0.001,1.40865377862821
"M18334",0.001,1.38933932140795
"M5650",0.001,0.941084812663668
"M27621",1,Inf
"M16289",0.723,1.4845323764544
"M808",0.001,1.37878505368094
"M6591",1,Inf
"M27193",0.001,3.02627526671972
"M9694",0.001,2.99377794075381
"M27113",0.001,2.34843457887567
"M938",0.001,0.240494323804268
"M889",0.001,2.62888479466903
"M27656",0.001,1.97389783505333
"M27483",0.001,2.31761942260328
"M11153",0.002,1.0959029548693
"M27697",0.01,0.119577438722708
